ID,Date,Customer,Gender,City,Distributors,Branch,Manager,Product,Category,Price,Cost,Qty,Total_Sales,cogs,Profit
88065565391,2020-02-06,Earnest H Birkholz,Male,New York,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,20,17,2000,40000,34000,6000
88065565392,2020-02-07,Amada J Knouse,Female,Hempstead,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Non Alcoholic,12,9,600,7200,5400,1800
88065565393,2020-02-08,Gregorio H Hottinger,Male,Brookhaven,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Alcoholic,10,7,1230,12300,8610,3690
88065565394,2020-02-09,Lawerence W Abernethy,Male,Islip,Merle N Burrus,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,15,12,900,13500,10800,2700
88065565395,2020-02-10,Marina X Quayle,Female,Babylon,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,2390,35850,28680,7170
88065565396,2020-02-11,Whitney N Wasinger,Male,Albany,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Non Alcoholic,20,17,10000,200000,170000,30000
88065565397,2020-02-12,Roy W Wilkie,Male,Auburn,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,12,9,2300,27600,20700,6900
88065565398,2020-02-13,Hyun Z Bynoe,Female,Betavia,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,13,10,7800,101400,78000,23400
88065565399,2020-02-14,Katelin F Coney,Female,Beacon,Antone E Angel,Main Street,Ben Frech,Boost,Alcoholic,15,12,450,6750,5400,1350
88065565400,2020-02-15,Jennifer Z Pridgen,Female,Elmira,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,14,11,2000,28000,22000,6000
88065565401,2020-02-16,Zachary U Breeden,Male,Glen Cove,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,30,27,123,3690,3321,369
88065565402,2020-02-17,Deon U Mounce,Male,New York,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,12903,206448,167739,38709
88065565403,2020-02-18,Buddy G Steinbeck,Male,Hempstead,Antone E Angel,Main Street,Ben Frech,Cel Ray,Alcoholic,9,6,100000,900000,600000,300000
88065565404,2020-02-19,Julius N Bakker,Male,Brookhaven,Merle N Burrus,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,5,2,12000,60000,24000,36000
88065565405,2020-02-20,Hans G Koh,Male,Glen Cove,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,18,15,60,1080,900,180
88065565406,2020-02-21,Jamal G Dimarco,Male,Glens Falls,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,10,7,89,890,623,267
88065565407,2020-02-22,Stephan Q Ranger,Male,Hornell ,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,20,17,77,1540,1309,231
88065565408,2020-02-23,Jackie P Montague,Male,Hudson,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,70,67,68,4760,4556,204
88065565409,2020-02-24,Nathanael W Ohl,Male,Johnstown,Antone E Angel,Main Street,Ben Frech,Boost,Alcoholic,15,12,15,225,180,45
88065565410,2020-02-25,Hosea B Michelson,Male,Kingston,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,12,9,47,564,423,141
88065565411,2020-02-26,Carly L Sirianni,Female,Little Falls,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,18,15,6,108,90,18
88065565412,2020-02-27,Abram S Manrique,Male,Lockport,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,23,20,10,230,200,30
88065565413,2020-02-28,Mica Z Herzberg,Female,Long Beach,Antone E Angel,Main Street,Ben Frech,Cel Ray,Alcoholic,9,6,11,99,66,33
88065565414,2020-02-29,Lemuel W Hardman,Male,Middletown,Merle N Burrus,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,18,15,60,1080,900,180
88065565415,2020-03-01,Shanelle Z Hick,Female,Mount,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,52,49,89,4628,4361,267
88065565416,2020-03-02,Maryellen H Hartness,Female,New York,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,9,6,77,693,462,231
88065565417,2020-03-03,Sylvester Z Blackledge,Male,Salamanca,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,5,2,68,340,136,204
88065565418,2020-03-04,Vivienne X Binion,Female,Springs,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,14,11,15,210,165,45
88065565419,2020-03-05,Ahmed C Minch,Male,Sherrill,Antone E Angel,Main Street,Ben Frech,Boost,Alcoholic,6,3,100,600,300,300
88065565420,2020-03-06,Leopoldo U Hole,Male,Syracuse,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,10,7,3000,30000,21000,9000
88065565421,2020-03-07,Gemma I Chilton,Female,Troy,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,13,10,5000,65000,50000,15000
88065565422,2020-03-08,Laurence K Ryles,Male,Olean,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,20,17,300,6000,5100,900
88065565423,2020-03-09,Eleanor D Dickson,Female,Peekskill,Antone E Angel,Main Street,Ben Frech,Cel Ray,Alcoholic,15,12,2000,30000,24000,6000
88065565424,2020-03-10,Elsy B Latta,Female,Port Jervis,Merle N Burrus,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,20,17,600,12000,10200,1800
88065565425,2020-03-11,Sherwood K Shire,Male,Kingston,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,12,9,1230,14760,11070,3690
88065565426,2020-03-12,Carolynn V Moynihan,Female,Little Falls,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,900,14400,11700,2700
88065565427,2020-03-13,Mckinley H Scofield,Male,Lockport,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,70,67,2390,167300,160130,7170
88065565428,2020-03-14,Brendon V Crowther,Male,Long Beach,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,15,12,10000,150000,120000,30000
88065565429,2020-03-15,Nancy V Trogdon,Female,Middletown,Antone E Angel,Main Street,Ben Frech,Boost,Alcoholic,16,13,2300,36800,29900,6900
88065565430,2020-03-16,Darin U Shipp,Male,Watervliet,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,20,17,7800,156000,132600,23400
88065565431,2020-03-17,Joel S Maine,Male,Yakers,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,12,9,450,5400,4050,1350
88065565432,2020-03-18,Luciana N Campfield,Female,New York,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,12,9,2000,24000,18000,6000
88065565433,2020-03-19,Gilbert Z Bloss,Male,Hempstead,Antone E Angel,Main Street,Ben Frech,Cel Ray,Alcoholic,18,15,123,2214,1845,369
88065565434,2020-03-20,Sharda W Choudhury,Female,New York,Merle N Burrus,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,10,7,12903,129030,90321,38709
88065565435,2020-03-21,Chung J Moynihan,Male,Hempstead,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,100000,1500000,1200000,300000
88065565436,2020-03-22,Dayna M Edmondson,Female,Brookhaven,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,15,12,12000,180000,144000,36000
88065565437,2020-03-23,Bobbie S Miner,Female,Islip,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,23,20,60,1380,1200,180
88065565438,2020-03-24,Gidget X Loring,Female,Babylon,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,9,6,89,801,534,267
88065565439,2020-03-25,Hettie S Lauber,Female,Albany,Antone E Angel,Main Street,Ben Frech,Boost,Alcoholic,18,15,77,1386,1155,231
88065565440,2020-03-26,Toi F Stallard,Female,Auburn,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,14,11,68,952,748,204
88065565441,2020-03-27,Tristan L Cockrell,Female,Betavia,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,30,27,15,450,405,45
88065565442,2020-03-28,Towanda H Matson,Female,Beacon,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,47,752,611,141
88065565443,2020-03-29,Leland C Fifield,Male,Choes,Antone E Angel,Main Street,Ben Frech,Cel Ray,Alcoholic,52,49,6,312,294,18
88065565444,2020-03-30,Audria W Barrios,Female,Fulton,Merle N Burrus,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,14,11,10,140,110,30
88065565445,2020-03-31,Jim J Lurie,Male,Geneva,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,6,3,11,66,33,33
88065565446,2020-04-01,Lorette Y Petrillo,Female,Elmira,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,13,10,60,780,600,180
88065565447,2020-04-02,Damian X Grist,Male,Glen Cove,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,15,12,89,1335,1068,267
88065565448,2020-04-03,Zana G Ordonez,Female,Glens Falls,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,20,17,77,1540,1309,231
88065565449,2020-04-04,Rhett A Chapple,Male,Hornell ,Antone E Angel,Main Street,Ben Frech,Boost,Alcoholic,12,9,68,816,612,204
88065565450,2020-04-05,Jeneva Y Bybee,Female,Hudson,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,16,13,15,240,195,45
88065565451,2020-04-06,Brendon J Camp,Male,Johnstown,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,20,17,100,2000,1700,300
88065565452,2020-04-07,Nettie T Mccandless,Female,Kingston,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,12,9,3000,36000,27000,9000
88065565453,2020-04-08,Lezlie Z Bohannan,Female,Little Falls,Antone E Angel,Main Street,Ben Frech,Cel Ray,Alcoholic,10,7,5000,50000,35000,15000
88065565454,2020-04-09,Hester B Cabana,Female,Lockport,Merle N Burrus,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,15,12,300,4500,3600,900
88065565455,2020-04-10,Isobel K Dance,Female,Long Beach,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,2000,30000,24000,6000
88065565456,2020-04-11,Erica S Harlan,Female,Middletown,Merle N Burrus,Uptown Store,Ben Frech,Boost,Non Alcoholic,20,17,600,12000,10200,1800
88065565457,2020-04-12,Leda X Haskell,Female,Mount,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,12,9,1230,14760,11070,3690
88065565458,2020-04-13,Loralee V Ball,Female,New York,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,13,10,900,11700,9000,2700
88065565459,2020-04-14,Otha T Orrell,Male,Newburgh,Antone E Angel,Main Street,Drek Yassi,Boost,Alcoholic,15,12,2390,35850,28680,7170
88065565460,2020-04-15,Honey D Eaves,Female,Olean,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,14,11,10000,140000,110000,30000
88065565461,2020-04-16,Ellis V Mcneel,Male,Peekskill,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,30,27,2300,69000,62100,6900
88065565462,2020-04-17,Gabriel S Beale,Male,Port Jervis,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Non Alcoholic,16,13,7800,124800,101400,23400
88065565463,2020-04-18,Nathanael G Mcmillin,Male,Poughkeepsie,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Alcoholic,9,6,450,4050,2700,1350
88065565464,2020-04-19,Donald H Mazur,Male,Rye ,Twanna Y Manges,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,5,2,2000,10000,4000,6000
88065565465,2020-04-20,Eliz R Linneman,Female,Rome,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,18,15,123,2214,1845,369
88065565466,2020-04-21,Gracie P Lett,Female,Rochester,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,10,7,12903,129030,90321,38709
88065565467,2020-04-22,Gema S Grover,Female,Salamanca,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,20,17,100000,2000000,1700000,300000
88065565468,2020-04-23,Delana Y Freedman,Female,Springs,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,70,67,12000,840000,804000,36000
88065565469,2020-04-24,Mary Y Tate,Male,New York,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,15,12,60,900,720,180
88065565470,2020-04-25,Abe J Macleod,Male,Syracuse,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,12,9,89,1068,801,267
88065565471,2020-04-26,Evon Q Lawson,Female,Kingston,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,18,15,77,1386,1155,231
88065565472,2020-04-27,Jerlene P Dunnigan,Female,Watertown,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,23,20,68,1564,1360,204
88065565473,2020-04-28,Bobbie X Schoenrock,Male,Watervliet,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Alcoholic,9,6,15,135,90,45
88065565474,2020-04-29,Mike A Waddington,Male,Yakers,Twanna Y Manges,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,18,15,47,846,705,141
88065565475,2020-04-30,Nigel K Wadsworth,Male,New York,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,52,49,6,312,294,18
88065565476,2020-05-01,Hayden E Novack,Male,Hempstead,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,9,6,10,90,60,30
88065565477,2020-05-02,Voncile P Trojanowski,Female,New York,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,5,2,11,55,22,33
88065565478,2020-05-03,Roberto U Derry,Female,New York,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,14,11,60,840,660,180
88065565479,2020-05-04,Tona S Huseby,Female,Babylon,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,6,3,89,534,267,267
88065565480,2020-05-05,Londa T Maya,Female,Beacon,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,10,7,77,770,539,231
88065565481,2020-05-06,Jocelyn Q Scotti,Female,New York,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,13,10,68,884,680,204
88065565482,2020-05-07,Frank O Mallon,Female,Betavia,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,20,17,15,300,255,45
88065565483,2020-05-08,Kurtis C Irons,Male,Beacon,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Alcoholic,15,12,100,1500,1200,300
88065565484,2020-05-09,Jamey S Seim,Male,Elmira,Antone E Angel,Main Street,Drek Yassi,Cazadores Tequila,Alcoholic,20,17,3000,60000,51000,9000
88065565485,2020-05-10,Walton S Keim,Male,Glen Cove,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,12,9,5000,60000,45000,15000
88065565486,2020-05-11,Micki R Jauregui,Female,New York,Twanna Y Manges,Uptown Store,Drek Yassi,Boost,Non Alcoholic,16,13,300,4800,3900,900
88065565487,2020-05-12,Ngoc X Watson,Female,Hempstead,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,70,67,2000,140000,134000,6000
88065565488,2020-05-13,Inocencia Z Buteau,Female,Brookhaven,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,600,9000,7200,1800
88065565489,2020-05-14,Charlie V Koeller,Male,Glen Cove,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Alcoholic,16,13,1230,19680,15990,3690
88065565490,2020-05-15,Rosy U Baumeister,Female,Glens Falls,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,20,17,900,18000,15300,2700
88065565491,2020-05-16,Charity N Denman,Female,Hornell ,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,12,9,2390,28680,21510,7170
88065565492,2020-05-17,Luke S Tumlin,Male,Hudson,Antone E Angel,Main Street,Drek Yassi,Boost,Non Alcoholic,12,9,10000,120000,90000,30000
88065565493,2020-05-18,Hannah K Ma,Female,Johnstown,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Alcoholic,18,15,2300,41400,34500,6900
88065565494,2020-05-19,Celinda C Magruder,Female,Kingston,Twanna Y Manges,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,10,7,7800,78000,54600,23400
88065565495,2020-05-20,Arturo N Halvorsen,Male,Little Falls,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,450,6750,5400,1350
88065565496,2020-05-21,Tiny Z Oliveri,Female,Lockport,Antone E Angel,Main Street,Drek Yassi,Boost,Non Alcoholic,15,12,2000,30000,24000,6000
88065565497,2020-05-22,Kerri Y Card,Female,Long Beach,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,23,20,123,2829,2460,369
88065565498,2020-05-23,Young W Funes,Male,Middletown,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,9,6,12903,116127,77418,38709
88065565499,2020-05-24,Neomi P Pitchford,Female,Mount,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Alcoholic,18,15,100000,1800000,1500000,300000
88065565500,2020-05-25,Ivan A Groner,Male,New York,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,14,11,12000,168000,132000,36000
88065565501,2020-05-26,Etsuko O Wilmot,Female,Salamanca,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,30,27,60,1800,1620,180
88065565502,2020-05-27,William B Mcnerney,Male,Springs,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,89,1424,1157,267
88065565503,2020-05-28,Logan D Berryman,Male,Sherrill,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Alcoholic,52,49,77,4004,3773,231
88065565504,2020-05-29,Houston K Joe,Male,Syracuse,Antone E Angel,Main Street,Ben Frech,Cazadores Tequila,Alcoholic,14,11,68,952,748,204
88065565505,2020-05-30,Coy I Gentner,Male,Troy,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,6,3,15,90,45,45
88065565506,2020-05-31,Jimmie F Vasquez,Male,Olean,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,13,10,47,611,470,141
88065565507,2020-06-01,Tommie S Fargo,Male,Peekskill,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Non Alcoholic,15,12,6,90,72,18
88065565508,2020-06-02,Daina U Ledet,Female,Port Jervis,Antone E Angel,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,20,17,10,200,170,30
88065565509,2020-06-03,Sophia F Knecht,Female,Kingston,Merle N Burrus,Uptown Store,Ben Frech,Boost,Alcoholic,12,9,11,132,99,33
88065565510,2020-06-04,Newton V Scalia,Male,Little Falls,Twanna Y Manges,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,16,13,60,960,780,180
88065565511,2020-06-05,Reatha E Osby,Female,Lockport,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,20,17,89,1780,1513,267
88065565512,2020-06-06,Bell N Molinaro,Female,Long Beach,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,12,9,77,924,693,231
88065565513,2020-06-07,Jason V Gravois,Male,Middletown,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Alcoholic,10,7,68,680,476,204
88065565514,2020-06-08,Elwood T More,Male,Watervliet,Twanna Y Manges,Uptown Store,Ben Frech,Cazadores Tequila,Alcoholic,15,12,15,225,180,45
88065565515,2020-06-09,Lewis M Racette,Male,Yakers,Reatha Q Breazeale,Main Street,Ben Frech,Oliver Cromwell,Alcoholic,15,12,100,1500,1200,300
88065565516,2020-06-10,Leigh Y Haws,Male,New York,Antone E Angel,Main Street,Ben Frech,Boost,Non Alcoholic,20,17,3000,60000,51000,9000
88065565517,2020-06-11,Thomas B Felipe,Male,Hempstead,Merle N Burrus,Uptown Store,Ben Frech,Cel Ray,Non Alcoholic,12,9,5000,60000,45000,15000
88065565518,2020-06-12,Israel T Hertzler,Male,New York,Twanna Y Manges,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,13,10,300,3900,3000,900
88065565519,2020-06-13,Ona K Koepp,Female,Hempstead,Reatha Q Breazeale,Main Street,Ben Frech,Boost,Alcoholic,15,12,2000,30000,24000,6000
88065565520,2020-06-14,Kristofer N Calahan,Male,Brookhaven,Antone E Angel,Main Street,Ben Frech,Cel Ray,Non Alcoholic,14,11,600,8400,6600,1800
88065565521,2020-06-15,Mark F Hamman,Male,Islip,Merle N Burrus,Uptown Store,Ben Frech,Oliver Cromwell,Alcoholic,30,27,1230,36900,33210,3690
88065565522,2020-06-16,Bobbie Q Holbrook,Male,Babylon,Twanna Y Manges,Uptown Store,Ben Frech,Boost,Non Alcoholic,16,13,900,14400,11700,2700
88065565523,2020-06-17,Abe X Paro,Male,Albany,Reatha Q Breazeale,Main Street,Ben Frech,Cel Ray,Alcoholic,9,6,2390,21510,14340,7170
