ID,Date,Customer,Gender,City,Sales_Rep,Store,Supervisor,Manager,Product,Category,Price,Cost,Qty,Total_Sales,COGS,Gross_Profit,Column2,Month
88065565390,44068,Sol K Roger,Female,Yakers,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Janie Stewart,Alcoholic,16,13,11,176,143,33,8,Sept
88065565391,44072,Earnest H Birkholz,Male,New York,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Speyburn Bradan,Alcoholic,20,17,60,1200,1020,180,8,Sept
88065565392,44071,Amada J Knouse,Female,Hempstead,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Uv Blue,Alcoholic,12,9,89,1068,801,267,8,Sept
88065565393,44071,Gregorio H Hottinger,Male,Brookhaven,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Burnett's,Alcoholic,10,7,77,770,539,231,8,Sept
88065565394,44072,Lawerence W Abernethy,Male,Islip,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Smirnoff,Alcoholic,15,12,68,1020,816,204,8,Sept
88065565395,44073,Marina X Quayle,Female,Babylon,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Fireball,Alcoholic,15,12,15,225,180,45,8,Sept
88065565396,44074,Whitney N Wasinger,Male,Albany,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Jose Cuervo,Alcoholic,20,17,47,940,799,141,8,Sept
88065565397,44044,Roy W Wilkie,Male,Auburn,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Agavales,Alcoholic,12,9,6,72,54,18,8,Sept
88065565398,44045,Hyun Z Bynoe,Female,Betavia,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Pinnacle,Alcoholic,13,10,10,130,100,30,8,Sept
88065565399,44046,Katelin F Coney,Female,Beacon,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Bacardi Rum,Alcoholic,15,12,11,165,132,33,8,Sept
88065565400,44047,Jennifer Z Pridgen,Female,Elmira,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Suedka,Alcoholic,14,11,60,840,660,180,8,Sept
88065565401,44048,Zachary U Breeden,Male,Glen Cove,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Apple Beer,Alcoholic,30,27,89,2670,2403,267,8,Sept
88065565402,44052,Deon U Mounce,Male,New York,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Birch Beer,Alcoholic,16,13,77,1232,1001,231,8,Sept
88065565403,44051,Buddy G Steinbeck,Male,Hempstead,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Boost,Non Alcoholic,9,6,68,612,408,204,8,Sept
88065565404,44051,Julius N Bakker,Male,Brookhaven,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Cel Ray,Non Alcoholic,5,2,15,75,30,45,8,Sept
88065565405,44052,Hans G Koh,Male,Glen Cove,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Cheerwine,Non Alcoholic,18,15,47,846,705,141,8,Sept
88065565406,44053,Jamal G Dimarco,Male,Glens Falls,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Chicory Coffee,Non Alcoholic,10,7,6,60,42,18,8,Sept
88065565407,44054,Stephan Q Ranger,Male,Hornell ,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Coffee Milk,Non Alcoholic,20,17,10,200,170,30,8,Sept
88065565408,44055,Jackie P Montague,Male,Hudson,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Date Shake,Non Alcoholic,70,67,11,770,737,33,8,Sept
88065565409,44056,Nathanael W Ohl,Male,Johnstown,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Dr. Enuf,Non Alcoholic,15,12,60,900,720,180,8,Sept
88065565410,44057,Hosea B Michelson,Male,Kingston,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Dr. Nut,Non Alcoholic,12,9,89,1068,801,267,8,Sept
88065565411,44058,Carly L Sirianni,Female,Little Falls,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Egg Cream,Non Alcoholic,18,15,77,1386,1155,231,8,Sept
88065565412,44062,Abram S Manrique,Male,Lockport,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Faygo,Non Alcoholic,23,20,68,1564,1360,204,8,Sept
88065565413,44061,Mica Z Herzberg,Female,Long Beach,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Green River,Non Alcoholic,9,6,15,135,90,45,8,Sept
88065565414,44061,Lemuel W Hardman,Male,Middletown,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Ironport,Non Alcoholic,18,15,47,846,705,141,8,Sept
88065565415,44062,Shanelle Z Hick,Female,Mount,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Oliver Cromwell,Alcoholic,52,49,6,312,294,18,8,Sept
88065565416,44063,Maryellen H Hartness,Female,New York,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Boost,Non Alcoholic,9,6,10,90,60,30,8,Sept
88065565417,44064,Sylvester Z Blackledge,Male,Salamanca,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Cel Ray,Non Alcoholic,5,2,11,55,22,33,8,Sept
88065565418,44065,Vivienne X Binion,Female,Springs,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Degrees Vodka,Alcoholic,14,11,60,840,660,180,8,Sept
88065565419,44066,Ahmed C Minch,Male,Sherrill,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,St. Amdr Cabernet,Alcoholic,6,3,89,534,267,267,8,Sept
88065565420,44067,Leopoldo U Hole,Male,Syracuse,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Chicory Coffee,Non Alcoholic,10,7,77,770,539,231,8,Sept
88065565421,44068,Gemma I Chilton,Female,Troy,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Nake Turtle,Alcoholic,13,10,68,884,680,204,8,Sept
88065565422,44072,Laurence K Ryles,Male,Olean,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Coffee Milk,Non Alcoholic,20,17,15,300,255,45,8,Sept
88065565423,44071,Eleanor D Dickson,Female,Peekskill,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Gallo XO,Alcoholic,15,12,47,705,564,141,8,Sept
88065565424,44071,Elsy B Latta,Female,Port Jervis,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Cazadores Tequila,Alcoholic,20,17,6,120,102,18,8,Sept
88065565425,44072,Sherwood K Shire,Male,Kingston,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Benchmark Bourbon,Alcoholic,12,9,10,120,90,30,8,Sept
88065565426,44073,Carolynn V Moynihan,Female,Little Falls,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Janie Stewart,Alcoholic,16,13,11,176,143,33,8,Sept
88065565427,44074,Mckinley H Scofield,Male,Lockport,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Date Shake,Non Alcoholic,70,67,60,4200,4020,180,8,Sept
88065565428,44075,Brendon V Crowther,Male,Long Beach,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Dr. Enuf,Non Alcoholic,15,12,89,1335,1068,267,9,August
88065565429,44076,Nancy V Trogdon,Female,Middletown,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Janie Stewart,Alcoholic,16,13,77,1232,1001,231,9,August
88065565430,44077,Darin U Shipp,Male,Watervliet,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Speyburn Bradan,Alcoholic,20,17,68,1360,1156,204,9,August
88065565431,44078,Joel S Maine,Male,Yakers,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Uv Blue,Alcoholic,12,9,15,180,135,45,9,August
88065565432,44079,Luciana N Campfield,Female,New York,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Dr. Nut,Non Alcoholic,12,9,47,564,423,141,9,August
88065565433,44083,Gilbert Z Bloss,Male,Hempstead,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Egg Cream,Non Alcoholic,18,15,6,108,90,18,9,August
88065565434,44082,Sharda W Choudhury,Female,New York,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Burnett's,Alcoholic,10,7,10,100,70,30,9,August
88065565435,44082,Chung J Moynihan,Male,Hempstead,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Smirnoff,Alcoholic,15,12,11,165,132,33,9,August
88065565436,44083,Dayna M Edmondson,Female,Brookhaven,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Fireball,Alcoholic,15,12,60,900,720,180,9,August
88065565437,44084,Bobbie S Miner,Female,Islip,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Faygo,Non Alcoholic,23,20,89,2047,1780,267,9,August
88065565438,44085,Gidget X Loring,Female,Babylon,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Green River,Non Alcoholic,9,6,77,693,462,231,9,August
88065565439,44086,Hettie S Lauber,Female,Albany,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Ironport,Non Alcoholic,18,15,68,1224,1020,204,9,August
88065565440,44087,Toi F Stallard,Female,Auburn,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Suedka,Alcoholic,14,11,15,210,165,45,9,August
88065565441,44088,Tristan L Cockrell,Female,Betavia,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Apple Beer,Alcoholic,30,27,47,1410,1269,141,9,August
88065565442,44089,Towanda H Matson,Female,Beacon,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Birch Beer,Alcoholic,16,13,6,96,78,18,9,August
88065565443,44093,Leland C Fifield,Male,Choes,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Oliver Cromwell,Alcoholic,52,49,10,520,490,30,9,August
88065565444,44092,Audria W Barrios,Female,Fulton,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Degrees Vodka,Alcoholic,14,11,11,154,121,33,9,August
88065565445,44092,Jim J Lurie,Male,Geneva,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,St. Amdr Cabernet,Alcoholic,6,3,60,360,180,180,9,August
88065565446,44093,Lorette Y Petrillo,Female,Elmira,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Nake Turtle,Alcoholic,13,10,89,1157,890,267,9,August
88065565447,44094,Damian X Grist,Male,Glen Cove,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Gallo XO,Alcoholic,15,12,77,1155,924,231,9,August
88065565448,44095,Zana G Ordonez,Female,Glens Falls,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Cazadores Tequila,Alcoholic,20,17,68,1360,1156,204,9,August
88065565449,44096,Rhett A Chapple,Male,Hornell ,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Benchmark Bourbon,Alcoholic,12,9,15,180,135,45,9,August
88065565450,44097,Jeneva Y Bybee,Female,Hudson,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Janie Stewart,Alcoholic,16,13,47,752,611,141,9,August
88065565451,44098,Brendon J Camp,Male,Johnstown,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Speyburn Bradan,Alcoholic,20,17,6,120,102,18,9,August
88065565452,44099,Nettie T Mccandless,Female,Kingston,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Uv Blue,Alcoholic,12,9,10,120,90,30,9,August
88065565453,44103,Lezlie Z Bohannan,Female,Little Falls,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Burnett's,Alcoholic,10,7,11,110,77,33,9,August
88065565454,44102,Hester B Cabana,Female,Lockport,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Smirnoff,Alcoholic,15,12,60,900,720,180,9,August
88065565455,44102,Isobel K Dance,Female,Long Beach,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Fireball,Alcoholic,15,12,89,1335,1068,267,9,August
88065565456,44103,Erica S Harlan,Female,Middletown,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Jose Cuervo,Alcoholic,20,17,77,1540,1309,231,9,August
88065565457,44104,Leda X Haskell,Female,Mount,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Agavales,Alcoholic,12,9,68,816,612,204,9,August
88065565458,44094,Loralee V Ball,Female,New York,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Pinnacle,Alcoholic,13,10,15,195,150,45,9,August
88065565459,44095,Otha T Orrell,Male,Newburgh,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Bacardi Rum,Alcoholic,15,12,47,705,564,141,9,August
88065565460,44096,Honey D Eaves,Female,Olean,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Suedka,Alcoholic,14,11,6,84,66,18,9,August
88065565461,44097,Ellis V Mcneel,Male,Peekskill,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Apple Beer,Alcoholic,30,27,10,300,270,30,9,August
88065565462,44098,Gabriel S Beale,Male,Port Jervis,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Birch Beer,Alcoholic,16,13,11,176,143,33,9,August
88065565463,44099,Nathanael G Mcmillin,Male,Poughkeepsie,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Boost,Non Alcoholic,9,6,60,540,360,180,9,August
88065565464,44103,Donald H Mazur,Male,Rye ,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Cel Ray,Non Alcoholic,5,2,89,445,178,267,9,August
88065565465,44102,Eliz R Linneman,Female,Rome,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Cheerwine,Non Alcoholic,18,15,77,1386,1155,231,9,August
88065565466,44102,Gracie P Lett,Female,Rochester,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Chicory Coffee,Non Alcoholic,10,7,68,680,476,204,9,August
88065565467,44103,Gema S Grover,Female,Salamanca,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Coffee Milk,Non Alcoholic,20,17,15,300,255,45,9,August
88065565468,44104,Delana Y Freedman,Female,Springs,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Date Shake,Non Alcoholic,70,67,47,3290,3149,141,9,August
88065565469,44044,Mary Y Tate,Male,New York,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Dr. Enuf,Non Alcoholic,15,12,6,90,72,18,8,Sept
88065565470,44045,Abe J Macleod,Male,Syracuse,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Dr. Nut,Non Alcoholic,12,9,10,120,90,30,8,Sept
88065565471,44046,Evon Q Lawson,Female,Kingston,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Egg Cream,Non Alcoholic,18,15,11,198,165,33,8,Sept
88065565472,44047,Jerlene P Dunnigan,Female,Watertown,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Faygo,Non Alcoholic,23,20,60,1380,1200,180,8,Sept
88065565473,44048,Bobbie X Schoenrock,Male,Watervliet,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Green River,Non Alcoholic,9,6,89,801,534,267,8,Sept
88065565474,44052,Mike A Waddington,Male,Yakers,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Ironport,Non Alcoholic,18,15,77,1386,1155,231,8,Sept
88065565475,44051,Nigel K Wadsworth,Male,New York,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Oliver Cromwell,Alcoholic,52,49,68,3536,3332,204,8,Sept
88065565476,44051,Hayden E Novack,Male,Hempstead,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Boost,Non Alcoholic,9,6,15,135,90,45,8,Sept
88065565477,44052,Voncile P Trojanowski,Female,New York,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Cel Ray,Non Alcoholic,5,2,47,235,94,141,8,Sept
88065565478,44053,Roberto U Derry,Female,New York,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Degrees Vodka,Alcoholic,14,11,6,84,66,18,8,Sept
88065565479,44054,Tona S Huseby,Female,Babylon,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,St. Amdr Cabernet,Alcoholic,6,3,10,60,30,30,8,Sept
88065565480,44055,Londa T Maya,Female,Beacon,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Chicory Coffee,Non Alcoholic,10,7,11,110,77,33,8,Sept
88065565481,44056,Jocelyn Q Scotti,Female,New York,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Nake Turtle,Alcoholic,13,10,60,780,600,180,8,Sept
88065565482,44057,Frank O Mallon,Female,Betavia,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Coffee Milk,Non Alcoholic,20,17,89,1780,1513,267,8,Sept
88065565483,44058,Kurtis C Irons,Male,Beacon,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Gallo XO,Alcoholic,15,12,77,1155,924,231,8,Sept
88065565484,44062,Jamey S Seim,Male,Elmira,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Cazadores Tequila,Alcoholic,20,17,68,1360,1156,204,8,Sept
88065565485,44061,Walton S Keim,Male,Glen Cove,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Benchmark Bourbon,Alcoholic,12,9,15,180,135,45,8,Sept
88065565486,44061,Micki R Jauregui,Female,New York,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Janie Stewart,Alcoholic,16,13,47,752,611,141,8,Sept
88065565487,44062,Ngoc X Watson,Female,Hempstead,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Date Shake,Non Alcoholic,70,67,6,420,402,18,8,Sept
88065565488,44063,Inocencia Z Buteau,Female,Brookhaven,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Dr. Enuf,Non Alcoholic,15,12,10,150,120,30,8,Sept
88065565489,44064,Charlie V Koeller,Male,Glen Cove,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Janie Stewart,Alcoholic,16,13,11,176,143,33,8,Sept
88065565490,44065,Rosy U Baumeister,Female,Glens Falls,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Speyburn Bradan,Alcoholic,20,17,60,1200,1020,180,8,Sept
88065565491,44066,Charity N Denman,Female,Hornell ,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Uv Blue,Alcoholic,12,9,89,1068,801,267,8,Sept
88065565492,44067,Luke S Tumlin,Male,Hudson,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Dr. Nut,Non Alcoholic,12,9,77,924,693,231,8,Sept
88065565493,44068,Hannah K Ma,Female,Johnstown,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Egg Cream,Non Alcoholic,18,15,68,1224,1020,204,8,Sept
88065565494,44072,Celinda C Magruder,Female,Kingston,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Burnett's,Alcoholic,10,7,15,150,105,45,8,Sept
88065565495,44071,Arturo N Halvorsen,Male,Little Falls,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Smirnoff,Alcoholic,15,12,47,705,564,141,8,Sept
88065565496,44071,Tiny Z Oliveri,Female,Lockport,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Fireball,Alcoholic,15,12,6,90,72,18,8,Sept
88065565497,44072,Kerri Y Card,Female,Long Beach,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Faygo,Non Alcoholic,23,20,10,230,200,30,8,Sept
88065565498,44073,Young W Funes,Male,Middletown,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Green River,Non Alcoholic,9,6,11,99,66,33,8,Sept
88065565499,44074,Neomi P Pitchford,Female,Mount,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Ironport,Non Alcoholic,18,15,60,1080,900,180,8,Sept
88065565500,44044,Ivan A Groner,Male,New York,Antone E Angel,Main Street,Jeremiah E Isler,Fenad Grek,Suedka,Alcoholic,14,11,89,1246,979,267,8,Sept
88065565501,44045,Etsuko O Wilmot,Female,Salamanca,Merle N Burrus,Uptown Store,Josef I Sergent,Fenad Grek,Apple Beer,Alcoholic,30,27,77,2310,2079,231,8,Sept
88065565502,44046,William B Mcnerney,Male,Springs,Twanna Y Manges,Uptown Store,Reatha O Hansford,Fenad Grek,Birch Beer,Alcoholic,16,13,68,1088,884,204,8,Sept
88065565503,44047,Logan D Berryman,Male,Sherrill,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Fenad Grek,Oliver Cromwell,Alcoholic,52,49,15,780,735,45,8,Sept
