Sales ID,Sales Date,Customer Name,Gender,Stores,Sales Reps,Product,Category,Qty,Trans.Types,Price,Cost,Total Sales,COGS,Gross Profit,Week days
ID57,27-07-2020,Carly L Sirranni,Male,Garden City,Felex Ada,Trainers Women,Women Bag,2,Sales,13000,12000,26000,24000,2000,Mon
ID58,28-07-2020,Abram S Manrique,Male,Harrison,Winner Sanda,Military Boots Women,Women Bag,2,Sales,6700,5000,13400,10000,3400,Tue
ID59,29-07-2020,Mica Z Herrberg,Male,Holbrook,Peter Pan,Court Shoes,Women Bag,4,Sales,6700,5001,26800,20004,6796,Wed
ID60,30-07-2020,Lemuel W Harrman,Male,Freeport,Farida Ibrahim,Brogues,Women Bag,1,Sales,6700,5002,6700,5002,1698,Thu
ID61,31-07-2020,Shanelle Z Hicr,Male,Freeport,Farida Ibrahim,Gladiator sandals,Women Bag,2,Sales,1900,1800,3800,3600,200,Fri
ID62,01-06-2020,Maryellen H Harrness,Male,Garden City,Felex Ada,Trainers Men,Men Shoes,2,Sales,200,190,400,380,20,Mon
ID63,02-06-2020,Sylvester Z Blarkledge,Male,Harrison,Winner Sanda,Trainers Women,Women Bag,1,Sales,2250,2200,2250,2200,50,Tue
ID64,01-06-2020,Vivienne X Binron,Male,Holbrook,Peter Pan,Foot Ball Boots Women,Women Bag,1,Sales,100,90,100,90,10,Mon
ID65,02-06-2020,Ahmed C Minrh,Male,Freeport,Farida Ibrahim,Leader Hand Bag White,Female Bag,2,Sales,100,80,200,160,40,Tue
ID66,03-06-2020,Leopoldo U Holr,Female,Freeport,Farida Ibrahim,Leader Hand Bag Black,Female Bag,2,Sales,2000,1850,4000,3700,300,Wed
ID67,04-06-2020,Gemma I Chirton,Female,Garden City,Felex Ada,Bag Pack,Male Bags,1,Sales,9500,8000,9500,8000,1500,Thu
ID68,05-06-2020,Laurence K Rylrs,Female,Harrison,Winner Sanda,Foot Ball Boots Men,Men Shoes,1,Sales,4700,4000,4700,4000,700,Fri
ID69,06-06-2020,Eleanor D Dicrson,Male,Holbrook,Peter Pan,Canvas Shoes,Men Shoes,2,Sales,400,360,800,720,80,Sat
ID70,07-06-2020,Elsy B Latra,Male,Freeport,Farida Ibrahim,Wellington Boots,Women Bag,2,Sales,100,90,200,180,20,Sun
ID71,08-06-2020,Sherwood K Shire,Male,Freeport,Farida Ibrahim,Flip Flops,Women Bag,1,Sales,1600,1590,1600,1590,10,Mon
ID72,09-06-2020,Carolynn V Moyrihan,Male,Garden City,Felex Ada,Gladiator sandals,Women Bag,1,Sales,50,45,50,45,5,Tue
ID73,10-06-2020,Mckinley H Scorield,Female,Harrison,Winner Sanda,Trainers Men,Men Shoes,2,Sales,600,450,1200,900,300,Wed
ID74,11-06-2020,Brendon V Crorther,Male,Holbrook,Peter Pan,Trainers Women,Women Bag,2,Sales,170,150,340,300,40,Thu
ID75,12-06-2020,Nancy V Trordon,Male,Freeport,Farida Ibrahim,Trainers Men,Men Shoes,1,Sales,25,20,25,20,5,Fri
ID76,13-06-2020,Darin U Shirp,Male,Freeport,Farida Ibrahim,Trainers Women,Women Bag,1,Sales,10000,9000,10000,9000,1000,Sat
ID77,14-06-2020,Joel S Maire,Male,Garden City,Felex Ada,Military Boots Women,Women Bag,2,Sales,6700,5001,13400,10002,3398,Sun
ID78,15-06-2020,Luciana N Camrfield,Male,Harrison,Winner Sanda,Court Shoes,Women Bag,2,Sales,6700,5002,13400,10004,3396,Mon
ID79,16-06-2020,Gilbert Z Blors,Male,Holbrook,Peter Pan,Brogues,Women Bag,1,Sales,22000,20000,22000,20000,2000,Tue
ID80,17-06-2020,Sharda W Chordhury,Male,Freeport,Farida Ibrahim,Shoe Bag,Female Bag,1,Returned,10000,9000,10000,9000,1000,Wed
ID81,18-06-2020,Chung J Moyrihan,Male,Freeport,Farida Ibrahim,Heels,Women Bag,1,Sales,8500,7600,8500,7600,900,Thu
ID82,19-06-2020,Dayna M Edmrndson,Male,Garden City,Felex Ada,Calf Boots Men,Men Shoes,2,Sales,8500,7600,17000,15200,1800,Fri
ID83,20-06-2020,Bobbie S Minrr,Male,Harrison,Winner Sanda,Foot Ball Boots Women,Women Bag,3,Sales,13200,12000,39600,36000,3600,Sat
ID84,21-06-2020,Gidget X Lorrng,Male,Holbrook,Peter Pan,Leader Hand Bag White,Female Bag,2,Sales,22000,20000,44000,40000,4000,Sun
ID85,22-06-2020,Hettie S Laurer,Male,Freeport,Farida Ibrahim,Leader Hand Bag Black,Female Bag,2,Sales,7700,7000,15400,14000,1400,Mon
ID86,23-06-2020,Toi F Starlard,Male,Freeport,Farida Ibrahim,Bag Pack,Male Bags,3,Sales,22000,20000,66000,60000,6000,Tue
ID87,24-06-2020,Tristan L Cocrrell,Female,Garden City,Felex Ada,Foot Ball Boots Men,Men Shoes,1,Sales,44000,40000,44000,40000,4000,Wed
ID88,25-06-2020,Towanda H Matron,Female,Harrison,Winner Sanda,Canvas Shoes,Men Shoes,2,Sales,19800,18000,39600,36000,3600,Thu
ID89,26-06-2020,Leland C Fifreld,Female,Holbrook,Peter Pan,Wellington Boots,Women Bag,2,Sales,9950,9000,19900,18000,1900,Fri
ID90,27-06-2020,Audria W Barrios,Male,Freeport,Farida Ibrahim,Flip Flops,Women Bag,2,Sales,7700,7000,15400,14000,1400,Sat
ID91,28-06-2020,Jim J Lurre,Male,Freeport,Farida Ibrahim,Mules,Female Bag,4,Sales,11000,10000,44000,40000,4000,Sun
ID92,29-06-2020,Lorette Y Petrillo,Male,Garden City,Felex Ada,Gladiator sandals,Women Bag,1,Sales,13200,12000,13200,12000,1200,Mon
ID93,30-06-2020,Damian X Grirt,Male,Harrison,Winner Sanda,Trainers Men,Men Shoes,2,Sales,9950,9000,19900,18000,1900,Tue
ID94,01-07-2020,Zana G Ordrnez,Female,Holbrook,Peter Pan,Trainers Women,Women Bag,2,Sales,7700,7000,15400,14000,1400,Wed
ID95,02-07-2020,Rhett A Charple,Male,Freeport,Farida Ibrahim,Trainers Women,Women Bag,4,Sales,11000,10000,44000,40000,4000,Thu
ID96,03-07-2020,Jeneva Y Bybre,Male,Freeport,Farida Ibrahim,Military Boots Women,Women Bag,1,Sales,13200,12000,13200,12000,1200,Fri
ID97,04-07-2020,Brendon J Camr,Male,Garden City,Felex Ada,Court Shoes,Women Bag,2,Sales,9950,9000,19900,18000,1900,Sat
ID98,05-07-2020,Nettie T Mccrndless,Male,Harrison,Winner Sanda,Brogues,Women Bag,2,Sales,7700,7000,15400,14000,1400,Sun
ID99,06-07-2020,Lezlie Z Bohrnnan,Male,Holbrook,Peter Pan,Shoe Bag,Female Bag,1,Sales,11000,10000,11000,10000,1000,Mon
ID100,07-07-2020,Hester B Cabrna,Male,Freeport,Farida Ibrahim,Heels,Women Bag,1,Sales,7700,7000,7700,7000,700,Tue
ID101,08-07-2020,Isobel K Danre,Male,Freeport,Farida Ibrahim,Calf Boots Men,Men Shoes,2,Sales,9950,9000,19900,18000,1900,Wed
ID102,09-07-2020,Erica S Harran,Male,Garden City,Felex Ada,Gladiator sandals,Women Bag,2,Sales,19800,18000,39600,36000,3600,Thu
ID103,10-07-2020,Leda X Hasrell,Male,Harrison,Winner Sanda,Trainers Men,Men Shoes,1,Sales,44000,40000,44000,40000,4000,Fri
ID104,11-07-2020,Loralee V Balr,Male,Holbrook,Peter Pan,Trainers Women,Women Bag,1,Sales,22000,20000,22000,20000,2000,Sat
ID105,12-07-2020,Otha T Orrrll,Male,Freeport,Farida Ibrahim,Bag Pack,Male Bags,2,Sales,13000,12000,26000,24000,2000,Sun
ID106,13-07-2020,Honey D Eavrs,Male,Freeport,Farida Ibrahim,Foot Ball Boots Men,Men Shoes,2,Sales,6700,5000,13400,10000,3400,Mon
ID107,14-07-2020,Ellis V Mcnrel,Male,Garden City,Felex Ada,Canvas Shoes,Men Shoes,1,Sales,6700,5001,6700,5001,1699,Tue
ID108,15-07-2020,Gabriel S Beare,Female,Harrison,Winner Sanda,Wellington Boots,Women Bag,1,Sales,6700,5002,6700,5002,1698,Wed
ID109,16-07-2020,Nathanael G Mcmrllin,Female,Holbrook,Peter Pan,Flip Flops,Women Bag,2,Sales,6700,5000,13400,10000,3400,Thu
ID110,17-07-2020,Donald H Mazrr,Female,Freeport,Farida Ibrahim,Mules,Female Bag,2,Sales,6700,5001,13400,10002,3398,Fri
ID111,18-07-2020,Eliz R Linreman,Male,Freeport,Farida Ibrahim,Loafers,Women Bag,1,Sales,6700,5002,6700,5002,1698,Sat
ID112,19-07-2020,Gracie P Letr,Male,Garden City,Felex Ada,Gladiator sandals,Women Bag,1,Sales,6700,5000,6700,5000,1700,Sun
ID113,20-07-2020,Gema S Grorer,Male,Harrison,Winner Sanda,Trainers Men,Men Shoes,2,Sales,6700,5001,13400,10002,3398,Mon
ID114,21-07-2020,Delana Y Frerdman,Male,Holbrook,Peter Pan,Trainers Women,Women Bag,2,Sales,6700,5002,13400,10004,3396,Tue
ID115,22-07-2020,Mary Y Tatr,Female,Freeport,Farida Ibrahim,Military Boots Women,Women Bag,1,Sales,22000,20000,22000,20000,2000,Wed
ID116,23-07-2020,Abe J Macreod,Male,Freeport,Farida Ibrahim,Court Shoes,Women Bag,1,Returned,10000,9000,10000,9000,1000,Thu
ID117,24-07-2020,Evon Q Lawron,Male,Garden City,Felex Ada,Brogues,Women Bag,1,Sales,8500,7600,8500,7600,900,Fri
ID118,25-07-2020,Jerlene P Dunrigan,Male,Harrison,Winner Sanda,Shoe Bag,Female Bag,2,Returned,8500,7600,17000,15200,1800,Sat
ID119,26-07-2020,Bobbie X Schrenrock,Male,Holbrook,Peter Pan,Heels,Women Bag,3,Sales,13200,12000,39600,36000,3600,Sun
ID120,27-07-2020,Mike A Wadrington,Male,Freeport,Farida Ibrahim,Gladiator sandals,Women Bag,2,Sales,22000,20000,44000,40000,4000,Mon
ID121,28-07-2020,Nigel K Wadrworth,Male,Freeport,Farida Ibrahim,Trainers Men,Men Shoes,2,Sales,7700,7000,15400,14000,1400,Tue
ID122,29-07-2020,Hayden E Novrck,Male,Garden City,Felex Ada,Trainers Women,Women Bag,3,Sales,22000,20000,66000,60000,6000,Wed
ID123,01-06-2020,Voncile P Troranowski,Male,Harrison,Winner Sanda,Leader Hand Bag Black,Female Bag,1,Sales,44000,40000,44000,40000,4000,Mon
ID124,02-06-2020,Roberto U Derry,Male,Holbrook,Peter Pan,Bag Pack,Male Bags,2,Sales,19800,18000,39600,36000,3600,Tue
ID125,03-06-2020,Tona S Husrby,Male,Freeport,Farida Ibrahim,Foot Ball Boots Men,Men Shoes,2,Sales,9950,9000,19900,18000,1900,Wed
ID126,04-06-2020,Londa T Mayr,Male,Freeport,Farida Ibrahim,Canvas Shoes,Men Shoes,2,Sales,7700,7000,15400,14000,1400,Thu
ID127,05-06-2020,Jocelyn Q Scorti,Male,Garden City,Felex Ada,Wellington Boots,Women Bag,4,Sales,11000,10000,44000,40000,4000,Fri
ID128,06-06-2020,Frank O Malron,Male,Harrison,Winner Sanda,Flip Flops,Women Bag,1,Sales,13200,12000,13200,12000,1200,Sat
ID129,07-06-2020,Kurtis C Irors,Female,Holbrook,Peter Pan,Mules,Female Bag,2,Sales,9950,9000,19900,18000,1900,Sun
ID130,08-06-2020,Jamey S Seir,Female,Freeport,Farida Ibrahim,Loafers,Women Bag,2,Sales,7700,7000,15400,14000,1400,Mon
ID131,09-06-2020,Walton S Keir,Female,Freeport,Farida Ibrahim,Gladiator sandals,Women Bag,4,Sales,11000,10000,44000,40000,4000,Tue
ID132,10-06-2020,Micki R Jauregui,Male,Garden City,Felex Ada,Trainers Men,Men Shoes,1,Sales,13200,12000,13200,12000,1200,Wed
ID133,11-06-2020,Ngoc X Watron,Male,Harrison,Winner Sanda,Trainers Women,Women Bag,2,Sales,1900,1800,3800,3600,200,Thu
ID134,12-06-2020,Inocencia Z Butrau,Male,Holbrook,Peter Pan,Military Boots Women,Women Bag,2,Sales,200,190,400,380,20,Fri
ID135,13-06-2020,Charlie V Koerler,Male,Freeport,Farida Ibrahim,Court Shoes,Women Bag,1,Sales,2250,2200,2250,2200,50,Sat
ID136,14-06-2020,Rosy U Baureister,Female,Freeport,Farida Ibrahim,Brogues,Women Bag,1,Sales,100,90,100,90,10,Sun
ID137,15-06-2020,Charity N Denran,Male,Garden City,Felex Ada,Shoe Bag,Female Bag,2,Sales,100,80,200,160,40,Mon
ID138,16-06-2020,Luke S Tumrin,Male,Harrison,Winner Sanda,Heels,Women Bag,2,Sales,2000,1850,4000,3700,300,Tue
ID139,17-06-2020,,Male,Holbrook,Peter Pan,Calf Boots Men,Men Shoes,1,Sales,9500,8000,9500,8000,1500,Wed
ID140,18-06-2020,Celinda C Magruder,Male,Freeport,Farida Ibrahim,Foot Ball Boots Women,Women Bag,1,Sales,4700,4000,4700,4000,700,Thu
ID141,19-06-2020,Arturo N Halrorsen,Male,Freeport,Farida Ibrahim,Leader Hand Bag White,Female Bag,2,Sales,400,360,800,720,80,Fri
ID142,20-06-2020,Tiny Z Olireri,Male,Garden City,Felex Ada,Leader Hand Bag Black,Female Bag,2,Sales,100,90,200,180,20,Sat
ID143,21-06-2020,Kerri Y Carr,Male,Harrison,Winner Sanda,Bag Pack,Male Bags,1,Sales,1600,1590,1600,1590,10,Sun
ID144,22-06-2020,Young W Funrs,Male,Holbrook,Peter Pan,Foot Ball Boots Men,Men Shoes,1,Sales,50,45,50,45,5,Mon
ID145,23-06-2020,Neomi P Pitrhford,Male,Freeport,Farida Ibrahim,Canvas Shoes,Men Shoes,2,Sales,600,450,1200,900,300,Tue
ID146,24-06-2020,Ivan A Grorer,Male,Freeport,Farida Ibrahim,Wellington Boots,Women Bag,2,Sales,170,150,340,300,40,Wed
ID147,25-06-2020,Etsuko O Wilrot,Male,Garden City,Felex Ada,Gladiator sandals,Women Bag,1,Sales,25,20,25,20,5,Thu
ID148,26-06-2020,William B Mcnrrney,Male,Harrison,Winner Sanda,Trainers Men,Men Shoes,1,Sales,6700,5000,6700,5000,1700,Fri
ID149,27-06-2020,Logan D Berryman,Male,Holbrook,Peter Pan,Trainers Women,Women Bag,2,Sales,6700,5001,13400,10002,3398,Sat
ID150,28-06-2020,,Female,Freeport,Farida Ibrahim,Gladiator sandals,Women Bag,2,Sales,6700,5002,13400,10004,3396,Sun
ID151,29-06-2020,Coy I Genrner,Female,Freeport,Farida Ibrahim,Trainers Men,Men Shoes,1,Sales,22000,20000,22000,20000,2000,Mon
ID152,30-06-2020,Jimmie F Vasruez,Female,Garden City,Felex Ada,Trainers Women,Women Bag,1,Returned,11000,10000,11000,10000,1000,Tue
ID153,01-07-2020,Tommie S Farro,Male,Harrison,Winner Sanda,Military Boots Women,Women Bag,1,Sales,8500,7600,8500,7600,900,Wed
ID154,02-07-2020,Daina U Ledrt,Male,Holbrook,Peter Pan,Court Shoes,Women Bag,2,Sales,8500,7600,17000,15200,1800,Thu
ID155,03-07-2020,Sophia F Knerht,Male,Freeport,Farida Ibrahim,Brogues,Women Bag,3,Sales,13200,12000,39600,36000,3600,Fri
ID156,04-07-2020,Newton V Scaria,Male,Freeport,Farida Ibrahim,Shoe Bag,Female Bag,2,Sales,22000,20000,44000,40000,4000,Sat
ID157,05-07-2020,Reatha E Osbr,Female,Garden City,Felex Ada,Heels,Women Bag,2,Sales,7700,7000,15400,14000,1400,Sun
ID158,06-07-2020,Bell N Molrnaro,Male,Harrison,Winner Sanda,Calf Boots Men,Men Shoes,3,Sales,22000,20000,66000,60000,6000,Mon
ID159,07-07-2020,Jason V Grarois,Male,Holbrook,Peter Pan,Foot Ball Boots Women,Women Bag,1,Sales,44000,40000,44000,40000,4000,Tue
ID160,08-07-2020,Elwood T Morr,Male,Freeport,Farida Ibrahim,Leader Hand Bag White,Female Bag,2,Sales,19800,18000,39600,36000,3600,Wed
ID161,09-07-2020,Lewis M Racrtte,Male,Freeport,Farida Ibrahim,Leader Hand Bag Black,Female Bag,2,Sales,9950,9000,19900,18000,1900,Thu
ID162,10-07-2020,Leigh Y Hawr,Male,Garden City,Felex Ada,Bag Pack,Male Bags,2,Sales,7700,7000,15400,14000,1400,Fri
ID163,11-07-2020,Thomas B Felrpe,Male,Harrison,Winner Sanda,Foot Ball Boots Men,Men Shoes,4,Sales,11000,10000,44000,40000,4000,Sat
ID164,12-07-2020,Israel T Herrzler,Male,Holbrook,Peter Pan,Canvas Shoes,Men Shoes,1,Sales,13200,12000,13200,12000,1200,Sun
ID165,13-07-2020,Ona K Koerp,Male,Freeport,Farida Ibrahim,Wellington Boots,Women Bag,2,Sales,1900,1800,3800,3600,200,Mon
ID166,14-07-2020,Kristofer N Calrhan,Male,Freeport,Farida Ibrahim,Flip Flops,Women Bag,2,Sales,200,190,400,380,20,Tue
ID167,15-07-2020,Mark F Hamran,Male,Garden City,Felex Ada,Mules,Female Bag,4,Sales,2250,2200,9000,8800,200,Wed
ID168,16-07-2020,Bobbie Q Holrrook,Male,Harrison,Winner Sanda,Loafers,Women Bag,1,Sales,100,90,100,90,10,Thu
ID169,17-07-2020,Abe X Parr,Male,Holbrook,Peter Pan,Gladiator sandals,Women Bag,2,Sales,100,80,200,160,40,Fri
ID170,18-07-2020,Mignon Q Dilrs,Male,Freeport,Farida Ibrahim,Trainers Men,Men Shoes,2,Sales,2000,1850,4000,3700,300,Sat
ID171,19-07-2020,Casey D Krirr,Female,Freeport,Farida Ibrahim,Trainers Women,Women Bag,1,Sales,9500,8000,9500,8000,1500,Sun
ID172,20-07-2020,Scott K Ricro,Female,Garden City,Felex Ada,Military Boots Women,Women Bag,1,Sales,4700,4000,4700,4000,700,Mon
ID173,21-07-2020,Rosemarie K Felrows,Female,Harrison,Winner Sanda,Court Shoes,Women Bag,2,Sales,400,360,800,720,80,Tue
ID174,22-07-2020,Lisette F Cowrey,Male,Holbrook,Peter Pan,Brogues,Women Bag,2,Sales,100,90,200,180,20,Wed
ID175,23-07-2020,Molly U Rasrh,Male,Freeport,Farida Ibrahim,Shoe Bag,Female Bag,1,Sales,1600,1590,1600,1590,10,Thu
ID176,24-07-2020,Felisha Q Ettrnger,Male,Freeport,Farida Ibrahim,Heels,Women Bag,1,Sales,50,45,50,45,5,Fri
ID177,25-07-2020,Linwood H Carrer,Male,Garden City,Felex Ada,Calf Boots Men,Men Shoes,2,Sales,600,450,1200,900,300,Sat
ID178,26-07-2020,Madelyn W Boor,Female,Harrison,Winner Sanda,Foot Ball Boots Women,Women Bag,2,Sales,170,150,340,300,40,Sun
ID179,27-07-2020,Angelo B Fitrmaurice,Male,Holbrook,Peter Pan,Leader Hand Bag White,Female Bag,1,Sales,25,20,25,20,5,Mon
ID180,28-07-2020,Gregory I Kidrell,Male,Freeport,Farida Ibrahim,Leader Hand Bag Black,Female Bag,1,Sales,6700,5002,6700,5002,1698,Tue
ID181,29-07-2020,Bart B Gilrrease,Male,Freeport,Farida Ibrahim,Gladiator sandals,Women Bag,2,Sales,6700,5000,13400,10000,3400,Wed
ID182,30-07-2020,Warner I Manry,Male,Garden City,Felex Ada,Trainers Men,Men Shoes,2,Sales,6700,5001,13400,10002,3398,Thu
